"feature_id","estimate_P_MCI_vs_S_MCI","se","t","p_value","fdr","n_subjects","df_residual","symbol"
"ENSG00000229543",0.0236401238763343,0.0071465125886336,3.30792447129154,0.001786555384039,0.928180260175504,52,48,""
"ENSG00000273702",-0.200395140496531,0.0606640563567036,-3.30335873549588,0.0018103705050568,0.928180260175504,52,48,""
"ENSG00000271780",-0.253334618614688,0.0767081565189445,-3.30257732829393,0.0018144763983821,0.928180260175504,52,48,""
"ENSG00000286086",-0.0846278127113082,0.0256718567943923,-3.29652090961312,0.0018466003305869,0.928180260175504,52,48,"TMEM41A-DT"
"ENSG00000243264",-0.331766194541458,0.100659785893229,-3.29591595687842,0.001849838501976,0.928180260175504,52,48,"IGKV2D-29"
"ENSG00000256812",-0.268369386391732,0.0814535862985786,-3.29475224587397,0.0018560827098722,0.928180260175504,52,48,"CAPNS2"
"ENSG00000204262",0.207443534984434,0.0630781992256747,3.28867243407289,0.0018890315702935,0.928180260175504,52,48,"COL5A2"
"ENSG00000198382",-0.132117975740406,0.0404857826999696,-3.263317810094,0.0020325038659524,0.928180260175504,52,48,"UVRAG"
"ENSG00000270499",0.0551586333031824,0.0169891341099515,3.24670068210674,0.0021320626888808,0.928180260175504,52,48,"MKI67P1"
"ENSG00000230702",0.0170163779011914,0.00527497011932,3.22587190377957,0.0022633731394482,0.928180260175504,52,48,"RPL31P30"
"ENSG00000286186",-0.21946448650352,0.0683530943231494,-3.21074691170481,0.0023634745708732,0.928180260175504,52,48,""
"ENSG00000289285",-0.250294204155765,0.0781623727418758,-3.20223395702609,0.0024216393789983,0.928180260175504,52,48,""
"ENSG00000161647",-0.199723613370298,0.0623858268594778,-3.20142608384704,0.0024272288181041,0.928180260175504,52,48,"MPP3"
"ENSG00000185899",0.122239135776089,0.0382168115253764,3.1985697104773,0.0024470890145355,0.928180260175504,52,48,"TAS2R60"
"ENSG00000198967",0.043804310223609,0.013698223100018,3.19780966507629,0.002452399338889,0.928180260175504,52,48,"OR10Z1"
"ENSG00000171425",-0.203948974064316,0.0637869156276077,-3.19734810905396,0.0024556294671383,0.928180260175504,52,48,"ZNF581"
"ENSG00000112238",0.0589310714437936,0.0185052436980555,3.18456067941358,0.0025467329610715,0.928180260175504,52,48,"PRDM13"
"ENSG00000219607",-0.254499597502685,0.0799304549050494,-3.1840128747548,0.002550706105222,0.928180260175504,52,48,"PPP1R3G"
"ENSG00000244998",-0.0651264577098374,0.0205032314607433,-3.1763996731214,0.002606532140557,0.928180260175504,52,48,"ASTILCS"
"ENSG00000289046",-0.139710033037757,0.0440034419101128,-3.17497966007175,0.0026170714567011,0.928180260175504,52,48,""
"ENSG00000272501",0.33024967105248,0.104067385738818,3.17342142024515,0.002628682914058,0.928180260175504,52,48,""
"ENSG00000275325",0.136784820590677,0.0434755910253401,3.14624407316166,0.0028391739926757,0.928180260175504,52,48,"PDCD6IPP1"
